ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
lilf,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
afzetverkleiningen,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
verdiepende,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
boeloond,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
ontslgan,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
maotsetoeng,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
aandelenmarkten1,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
aarjeling,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
dollargebeuren,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
dollars'belegd,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
ernst.zou,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
stijgingsperiode,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
terugger,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
we'weten,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
zou'vloeien,1,5.160779705048022E-8,0.009615384615384616,2.409888253481686E-6,17.507395992435807,11.962162600945916
schwank,2,2.0643118820192087E-7,0.019230769230769232,4.819776506963372E-6,16.50739599243581,11.962162600945916
belastingprogramma,1,1.0321559410096044E-7,0.009615384615384616,2.409888253481686E-6,16.50739599243581,11.962162600945916
lambertvan,1,1.0321559410096044E-7,0.009615384615384616,2.409888253481686E-6,16.50739599243581,11.962162600945916
vilém,1,1.5482339115144065E-7,0.009615384615384616,2.409888253481686E-6,15.922433491714653,11.962162600945916
aanpal,1,1.5482339115144065E-7,0.009615384615384616,2.409888253481686E-6,15.922433491714653,11.962162600945916
arverslag,1,1.5482339115144065E-7,0.009615384615384616,2.409888253481686E-6,15.922433491714653,11.962162600945916
waardedalingen,1,1.5482339115144065E-7,0.009615384615384616,2.409888253481686E-6,15.922433491714653,11.962162600945916
wricht,1,2.0643118820192087E-7,0.009615384615384616,2.409888253481686E-6,15.50739599243581,11.962162600945916
herstelpogingen,1,3.612545793533615E-7,0.009615384615384616,2.409888253481686E-6,14.700041070378205,11.962162600945916
kölner,2,9.289403469086439E-7,0.019230769230769232,4.819776506963372E-6,14.337470990993495,11.962162600945916
munteenheden,1,4.6447017345432197E-7,0.009615384615384616,2.409888253481686E-6,14.337470990993495,11.962162600945916
spaaren,1,6.192935646057626E-7,0.009615384615384616,2.409888253481686E-6,13.922433491714653,11.962162600945916
onverhuld,1,7.22509158706723E-7,0.009615384615384616,2.409888253481686E-6,13.700041070378205,11.962162600945916
aangediend,1,7.22509158706723E-7,0.009615384615384616,2.409888253481686E-6,13.700041070378205,11.962162600945916
recessie,104,8.195318171616259E-5,1.0,2.5062837836209537E-4,13.57484051343394,11.962162600945916
concentreerde,1,1.2385871292115252E-6,0.009615384615384616,2.409888253481686E-6,12.922433491714653,11.962162600945916
ergere,1,1.445018317413446E-6,0.009615384615384616,2.409888253481686E-6,12.700041070378205,11.962162600945916
losgekoppeld,1,2.167527476120169E-6,0.009615384615384616,2.409888253481686E-6,12.11507856965705,11.962162600945916
onbetwistbaar,1,2.3223508672716098E-6,0.009615384615384616,2.409888253481686E-6,12.015542896106133,11.962162600945916
aanpraten,1,2.4771742584230504E-6,0.009615384615384616,2.409888253481686E-6,11.922433491714653,11.962162600945916
handelspartners,1,2.6836054466249715E-6,0.009615384615384616,2.409888253481686E-6,11.806956274294716,11.962162600945916
dollarcrisis,2,4.902740719795621E-6,0.009615384615384616,2.409888253481686E-6,10.93754038410486,11.962162600945916
orr,1,7.844385151672994E-6,0.009615384615384616,2.409888253481686E-6,10.259468478992225,11.962162600945916
goederenmarkt,1,1.5946809288598388E-5,0.009615384615384616,2.409888253481686E-6,9.235932964531436,11.962162600945916
vakbeurzen,2,3.5093301994326547E-6,0.019230769230769232,7.229664760445058E-6,12.419933151185472,11.377200100224758
geïndexeerd,1,4.1286237640384175E-7,0.009615384615384616,4.819776506963372E-6,14.50739599243581,10.962162600945916
winstdalingen,1,6.709013616562429E-7,0.009615384615384616,4.819776506963372E-6,13.806956274294716,10.962162600945916
bestempelt,1,1.7030573026658473E-6,0.009615384615384616,4.819776506963372E-6,12.463001873077356,10.962162600945916
recordverbetering,2,3.9738003728869765E-6,0.019230769230769232,9.639553013926744E-6,12.240609451740909,10.962162600945916
koersontwikkeling,1,3.767369184685056E-6,0.009615384615384616,4.819776506963372E-6,11.317571433555791,10.962162600945916
wereldmacht,1,6.96705260181483E-6,0.009615384615384616,4.819776506963372E-6,10.430580395384979,10.962162600945916
koersdalingen,2,9.082972280884519E-6,0.009615384615384616,4.819776506963372E-6,10.04796437379851,10.962162600945916
zwakkere,1,9.857089236641721E-6,0.009615384615384616,4.819776506963372E-6,9.929967164400061,10.962162600945916
fukuda,1,9.805481439591242E-7,0.009615384615384616,7.229664760445058E-6,13.259468478992225,10.377200100224758
credietverzekering,1,2.528782055473531E-6,0.009615384615384616,7.229664760445058E-6,11.8926861483206,10.377200100224758
schmidts,1,3.6125457935336152E-6,0.009615384615384616,7.229664760445058E-6,11.378112975490843,10.377200100224758
herstellend,1,4.438270546341298E-6,0.009615384615384616,7.229664760445058E-6,11.081131237733711,10.377200100224758
aandelenkoersen,2,8.308855325127315E-6,0.009615384615384616,7.229664760445058E-6,10.176479114321193,10.377200100224758
weerspiegelt,1,8.463678716278756E-6,0.009615384615384616,7.229664760445058E-6,10.149843987817725,10.377200100224758
eenzelfde,1,9.3926190631874E-6,0.009615384615384616,7.229664760445058E-6,9.999601352237114,10.377200100224758
belegd,1,1.646288725910319E-5,0.009615384615384616,7.229664760445058E-6,9.189983378670938,10.377200100224758
slagvaardiger,2,7.844385151672994E-6,0.019230769230769232,1.6869217774371802E-5,11.259468478992225,10.15480767888831
invoerolie,1,2.0643118820192087E-7,0.009615384615384616,9.639553013926744E-6,15.50739599243581,9.962162600945916
afwenteling,1,1.5998417085648867E-6,0.009615384615384616,9.639553013926744E-6,12.553199682048934,9.962162600945916
geïmporteerde,1,4.6963095315937E-6,0.009615384615384616,9.639553013926744E-6,10.999601352237114,9.962162600945916
volksvijand,1,5.9865044578557055E-6,0.009615384615384616,9.639553013926744E-6,10.649414997308238,9.962162600945916
beperkende,1,9.6506580484398E-6,0.009615384615384616,9.639553013926744E-6,9.960501532548175,9.962162600945916
miljoenenverlies,1,9.857089236641721E-6,0.009615384615384616,9.639553013926744E-6,9.929967164400061,9.962162600945916
messe,2,3.3338636894610224E-5,0.019230769230769232,1.927910602785349E-5,9.172005637741883,9.962162600945916
indexcijfers,1,3.349346028576166E-5,0.009615384615384616,9.639553013926744E-6,8.165321324436672,9.962162600945916
takeo,1,1.4966261144639264E-6,0.009615384615384616,1.2049441267408431E-5,12.649414997308238,9.640234506058555
afzetgebieden,1,2.580389852524011E-6,0.009615384615384616,1.2049441267408431E-5,11.863539802661084,9.640234506058555
reislust,1,7.12187599296627E-6,0.009615384615384616,1.2049441267408431E-5,10.39887153565764,9.640234506058555
overgeslagen,1,7.844385151672994E-6,0.009615384615384616,1.2049441267408431E-5,10.259468478992225,9.640234506058555
knauw,1,8.463678716278756E-6,0.009615384615384616,1.2049441267408431E-5,10.149843987817725,9.640234506058555
heleboel,1,1.1044068568802767E-5,0.009615384615384616,1.2049441267408431E-5,9.76592900603466,9.640234506058555
barometer,1,2.162366696415121E-5,0.009615384615384616,1.2049441267408431E-5,8.796589558736457,9.640234506058555
verdedigde,1,2.1726882558252173E-5,0.009615384615384616,1.2049441267408431E-5,8.789719569369414,9.640234506058555
weliswaar,1,2.5081389366533386E-5,0.009615384615384616,1.2049441267408431E-5,8.582583488830025,9.640234506058555
doorzet,1,3.9738003728869765E-6,0.009615384615384616,1.4459329520890116E-5,11.240609451740909,9.377200100224762
afwentelen,1,6.038112254906186E-6,0.009615384615384616,1.4459329520890116E-5,10.637031272852404,9.377200100224762
weerslag,1,1.5895201491547906E-5,0.009615384615384616,1.4459329520890116E-5,9.240609451740905,9.377200100224762
beursweek,1,1.935292389393008E-5,0.009615384615384616,1.4459329520890116E-5,8.956649207052564,9.377200100224762
superman,1,2.822946498661268E-5,0.009615384615384616,1.4459329520890116E-5,8.41199896964325,9.377200100224762
prijsverhogingen,1,3.400953825626646E-5,0.009615384615384616,1.4459329520890116E-5,8.143261337427756,9.377200100224762
opgang,2,2.37395866432209E-5,0.019230769230769232,2.891865904178023E-5,9.661905941491433,9.377200100224758
index,2,3.5108784333441693E-4,0.019230769230769232,2.891865904178023E-5,5.7754406186638745,9.377200100224758
rantsoenering,1,1.2747125871468613E-5,0.009615384615384616,1.6869217774371802E-5,9.559028760851131,9.15480767888831
scheepsbouwers,1,1.4656614362336383E-5,0.009615384615384616,1.6869217774371802E-5,9.35764887293113,9.15480767888831
daadwerkelijke,1,1.5121084535790704E-5,0.009615384615384616,1.6869217774371802E-5,9.312639138013562,9.15480767888831
bundesbank,1,2.647479988689635E-5,0.009615384615384616,1.6869217774371802E-5,8.504580976828755,9.15480767888831
worstelt,1,4.051212068462697E-5,0.009615384615384616,1.6869217774371802E-5,7.890847148656818,9.15480767888831
